data,title,comments,year
16/11,"Nossa União, Muita Confusão ",(exceto para MG - Vale a Pena Ver de Novo e transmissão do Brasileirão: Athletico-PR x Atlético-MG),2021
17/11,Mãos Talentosas: A História de Ben Carson,,2021
18/11,Tudo e Todas as Coisas,,2021
19/11,MIB: Homens de Preto 2,,2021
22/11,Viagem ao Centro da Terra: O Filme,,2021
23/11,O Dilema,,2021
24/11,A Creche do Papai ,(retorno a Globo; ex-SBT),2021
25/11,A Conselheira Amorosa,,2021
26/11,Tô Ryca,,2021
29/11,Beleza Oculta,,2021
30/11,Um Presente Especial,,2021
01/12,Resgate Abaixo de Zero,,2021
02/12,Enrolados,,2021
03/12,Maria do Caritó ,(término da exibição após o Jornal Hoje),2021
06/12,Rio 2 ,"(em novo horário, após O Cravo e a Rosa)",2021
07/12,A Pantera Cor-de-Rosa 2 ,(inédito na TV Globo; ex-RecordTV),2021
08/12,Depois da Terra,,2021
09/12,Fazenda dos Cisnes,,2021
10/12,Os Parças 2,,2021
13/12,Hotel Transilvânia 2,,2021
14/12,Um Faz de Conta Que Acontece,,2021
15/12,Sully: O Herói do Rio Hudson,,2021
16/12,"Um Natal Muito, Muito Louco",,2021
17/12,"Fala Sério, Mãe!",,2021
20/12,O Expresso Polar ,(inédito na TV Globo; ex-SBT),2021
21/12,Menores Desacompanhados,,2021
22/12,O Natal dos Coopers ,(inédito em TV aberta),2021
23/12,O Quebra-Nozes (2010) ,(inédito na TV Globo; ex-RecordTV),2021
24/12,10 Horas Para o Natal ,(inédito em TV aberta),2021
27/12,O Pequeno Príncipe (2016),,2021
28/12,Uma Família em Apuros,,2021
29/12,Truque de Mestre,,2021
30/12,Turma da Mônica: Laços,,2021
31/12,Noite de Ano Novo ,(inédito em TV aberta),2021
01/01,Shrek Terceiro,,2020
02/01,Descendentes,,2020
03/01,A Lenda do Tesouro Perdido,,2020
06/01,Tá Chovendo Hambúrguer 2,,2020
07/01,O Último Mestre do Ar,,2020
08/01,Os Pinguins do Papai,,2020
09/01,No Mundo da Lua ,(inédito em TV aberta),2020
10/01,A Montanha Enfeitiçada (2009) ,(início da temporada da Sessão da Tarde de Férias),2020
13/01,Festa no Céu,,2020
14/01,MIB: Homens de Preto 3,,2020
15/01,As Viagens de Gulliver,,2020
16/01,Monstros vs. Alienígenas,,2020
17/01,A Bússola de Ouro,,2020
20/01,Os Smurfs,,2020
21/01,Acampamento do Papai,,2020
22/01,Professor Peso Pesado,,2020
23/01,Cegonhas: A História Que Não Te Contaram ,(inédito em TV aberta),2020
24/01,Viagem ao Centro da Terra: O Filme,,2020
27/01,Minha Mãe é uma Peça: O Filme,,2020
28/01,Tio Papi,,2020
29/01,Monstros S.A. ,(exceto para MG - MG1 Especial: Chuvas em Belo Horizonte),2020
30/01,Férias da Família Johnson,,2020
31/01,O Medalhão ,(reclassificado para 12 anos / término da temporada da Sessão da Tarde de Férias),2020
03/02,A Proposta (2009) ,(reclassificado para 12 anos),2020
04/02,A Última Música,,2020
05/02,Duas de Mim,,2020
06/02,Jenny Vai Casar ,(inédito em TV aberta),2020
07/02,De Repente 30,,2020
10/02,À Procura da Felicidade,,2020
11/02,Meu Namorado é o Bicho ,(inédito em TV aberta),2020
12/02,Casa Comigo?,,2020
13/02,Somos Todos Iguais ,(inédito em TV aberta),2020
14/02,As Branquelas,,2020
17/02,Uma Manhã Gloriosa ,(reclassificado para 10 anos),2020
